username	registration	address	ssn	residence	company	name	job	mail	current_location	user_id	blood_group	station_ID
kent45	17 Jun 2021	"1655 Gomez Shore Apt. 642
Jamesmouth, OH 92335"	701-06-2376		Garcia Inc	Martin Townsend		bonillasandra@gmail.com	(Decimal('-87.7136165'), Decimal('108.952939'))	1072	O+	668
pmoretti	2025-03-01		VRCLDI65R24G083P		Comolli s.r.l.	Giada Sraffa	Bonds trader	ceciliamocenigo@vodafone.it	(Decimal('-37.952780'), Decimal('123.575755'))	614	A+	258
treccanigiulio	2023/01/03	"Strada Marsili, 3
25126, Brescia (BS)"	PLMDNN41D13C530I		Nolcini e figli	Laureano Ortolani-Modiano		ranieri91@outlook.com	(Decimal('-9.284717'), Decimal('0.309107'))	98	AB+	714
okamotokumiko	2023-07-11	佐賀県長生郡一宮町上高野11丁目23番7号	430-62-1262		有限会社鈴木食品	田中 翔太		sayuriyamashita@yahoo.com	(Decimal('86.428620'), Decimal('-171.543907'))	1191	O-	54
zaira29	10 Sep 2024	"Borgo Giorgia, 88 Appartamento 97
16044, Monleone (GE)"	PSNNTL17C53C337C		Pizzetti, Garibaldi e Agnesi s.r.l.	Martina Telesio-Stucchi	Armed forces training and education officer	ntoninelli@fastwebnet.it	(Decimal('84.2289535'), Decimal('165.506094'))	1077	B-	2
damianoluria	2021/09/30	"Strada Amadeo, 47
11018, Villeneuve (AO)"	BLBRFL91D47F365D		Petrassi-Deledda s.r.l.	Liliana Gravina	Sales professional, IT	fsegni@tin.it	(Decimal('-83.184701'), Decimal('-146.202796'))	726	A+	586
btrobbiani	26 Oct 2023	"Borgo Surian, 919 Piano 9
09039, Villacidro (SU)"	ZMRGVN42M67F246X		Granatelli-Carocci Group	Umberto Strangio-Lollobrigida	Equities trader	serafina93@gmail.com	(Decimal('-1.1605265'), Decimal('174.198317'))	1210	B-	9
folettimarcello	2025/09/06	"Strada Naccari, 21
26855, Lodi Vecchio (LO)"	CFFMRL67M04H301N		Renzi, Pavone e Nicolucci e figli	Aria Greggio-Tropea		elladio67@vodafone.it	(Decimal('-75.6846205'), Decimal('-26.762320'))	518	A+	322
ole43	2023-01-09	"Weimerallee 0
27823 Wittmund"	053-82-5374		Hecker GmbH & Co. OHG	Alfredo Dussen van MBA.		ihuhn@yahoo.de	(Decimal('37.095085'), Decimal('91.191613'))	563	AB+	617
tanakajun	2025-07-06	広島県横浜市旭区南赤田16丁目20番3号 コート東神田902	449-69-7750		岡本建設合同会社	佐藤 結衣	行政書士	sayuri58@yahoo.com	(Decimal('-48.907242'), Decimal('97.606223'))	199	A+	306
alois41	2023/09/19	"Karina-Hörle-Platz 5-3
96044 Freudenstadt"	456-45-9377		Fechner	Prof. Siegrun Thies		kathrinsteckel@gmail.com	(Decimal('63.5453425'), Decimal('-15.191428'))	1307	A-	443
shannon56	28 Nov 2020	"67246 Jones Prairie
Chapmanton, TX 51695"	635-60-3455		Pollard, Hodges and Lynch	Jessica Evans	Sport and exercise psychologist	garnerkaitlyn@gmail.com	(Decimal('89.443689'), Decimal('85.355430'))	1959	AB+	398
inakajima	2020-08-25	福島県横浜市戸塚区竜泉9丁目20番12号 羽折町シャルム198	660-59-6087		有限会社中村水産	木村 篤司		ykobayashi@hotmail.com		1354	A+	673
fujiwararei	02 Feb 2025	山口県横浜市港南区小入35丁目8番15号 下宇和田クレスト354	021-35-0234		有限会社池田通信	中島 亮介	お笑い芸人	zota@yahoo.com		1107	AB-	782
owilson	2020-08-11	"082 Johnson Manors Suite 544
Barbarastad, NY 37596"	676-54-0227		Salinas LLC	Kimberly Fox		antonioali@yahoo.com	(Decimal('83.8628885'), Decimal('-86.523734'))	1673	B+	790
syamaguchi	2021-07-12	広島県香取市箪笥町10丁目22番16号 クレスト蔵前160	196-86-2280		有限会社太田通信	田中 裕美子		chiyo20@gmail.com	(Decimal('56.583792'), Decimal('56.415685'))	2000	AB-	806
fda-cunha	2025/06/16	"Alameda Moura, 71
Etelvina Carneiro
86848195 Melo / PI"	37261894591		Ramos	Asafe Viana		sofiaferreira@ig.com.br	(Decimal('-44.3658295'), Decimal('-162.583581'))	446	AB-	755
isabel29	26 Feb 2023	"Roger-Wähner-Ring 3154
44922 Eilenburg"	985-58-9793		Trüb	Klaus Peter Hande		diedrich42@googlemail.com	(Decimal('-50.421316'), Decimal('-81.657924'))	1506	A-	240
sara61	2022-12-19	"Morro Isabelly Campos, 358
Estoril
22844219 Andrade / PR"	52104736943		Rezende e Filhos	Luiz Miguel Duarte		arthur-miguelsales@yahoo.com.br	(Decimal('41.2377925'), Decimal('48.259182'))	1795	A-	20
arthurmarques	29 May 2019	"Praia Rodrigues, 375
Vila Trinta E Um De Março
91473-161 da Paz / GO"	96580132795		Santos	Matteo Farias	Microfonista	eduardocirino@ig.com.br	(Decimal('-15.622448'), Decimal('-89.892497'))	1108	A-	446
kumikowatanabe	09/18/2022, 00:00:00	新潟県武蔵村山市中小来川37丁目20番4号 五味ヶ谷コーポ050	461-08-0016		池田電気合同会社	藤原 幹	公務員	yoko08@gmail.com	(Decimal('-11.346180'), Decimal('-74.451997'))	1301	AB-	452
usteinberg	2022/12/14	"Zahnplatz 15-24
79067 Kitzingen"	652-16-3602		Reuter Roht KG	Frau Hedy Hornig MBA.		barkholzlina@googlemail.com	(Decimal('-8.922195'), Decimal('-31.272524'))	1837	B+	489
asuka33	15 Mar 2023	鹿児島県山武郡九十九里町箭坪27丁目26番8号	596-20-5378		合同会社吉田農林	木村 幹	配管工	minoue@gmail.com	(Decimal('-27.3891255'), Decimal('-53.502582'))	2048	A+	263
yinoue	11/05/2024, 00:00:00	群馬県品川区長間4丁目7番7号	335-90-1686		加藤鉱業合同会社	高橋 桃子		satomiinoue@gmail.com	(Decimal('-15.7614815'), Decimal('-5.111957'))	1963	A+	789
heidelore59	06 Jun 2025	"Susi-Schottin-Allee 995
85244 Herford"	693-23-1941		Heser Henck GmbH & Co. KG	Ewald Bauer		gretchen23@gmail.com	(Decimal('-33.1405045'), Decimal('-69.767542'))	589	O+	443
murakamiasuka	2019-04-03	佐賀県大網白里市外神田9丁目24番10号	858-47-1904		佐藤通信合同会社	高橋 治		fmiura@gmail.com	(Decimal('68.3145235'), Decimal('172.604688'))	1394	A-	595
haruka08	04 Jan 2021		761-65-4435		山本運輸有限会社	佐々木 裕美子		naoki79@hotmail.com	(Decimal('87.831363'), Decimal('-170.881727'))	759	A-	484
hjohnson	2018-12-10	"907 Laura Lake Suite 714
Gregorytown, AR 37687"	586-64-6480		Sanchez-Burke	Chad Ferguson		faguirre@hotmail.com	(Decimal('-73.184201'), Decimal('-163.631210'))	845	B+	188
tanderson	18 Dec 2024	"89761 Gregory Bypass Suite 738
Natashabury, PR 14323"	109-35-4117		Carrillo Ltd	Aaron Baxter	Airline pilot	williamlawson@yahoo.com	(Decimal('-16.974330'), Decimal('65.181677'))	40	A+	406
lauren56	25 Dec 2023	"6282 Richardson Trafficway Apt. 021
North Matthewborough, NY 11396"	201-96-6616		Fields-Alexander	Heidi Kane	Risk analyst	joseph41@gmail.com	(Decimal('35.604254'), Decimal('-80.900097'))	919	A+	109
antonella75	2018-10-29	"Favela Ravi Vargas, 446
Renascença
84595-181 Leão / GO"	53182409760		Pastor	Asafe Peixoto	Tecnólogo em produção de bebidas	lizdas-neves@hotmail.com	(Decimal('-89.910492'), Decimal('71.021544'))	59	O-	676
tcarriera	12/12/2021, 00:00:00	"Incrocio Azeglio, 8
30133, Sacca Fisola (VE)"	FLPGNT61H54I201C		Bonolis, Borrani e Casagrande e figli	Niccolò Guicciardini-Crispi	Meteorologist	antonietta14@gmail.com	(Decimal('-77.805549'), Decimal('26.156094'))	762	O-	389
tamburelloraimondo	10/11/2018, 00:00:00	"Canale Laura, 93
17040, Mioglia (SV)"	GRRGSV60L71B249G		Vigorelli-Sobrero s.r.l.	Ludovica Malenchini	Applications developer	ygrimani@gmail.com	(Decimal('67.5485105'), Decimal('148.026331'))	178	O-	409
salazarvanessa	2024/10/23		613-35-0665		Patterson and Sons	Jessica Bridges		wsmith@gmail.com	(Decimal('79.6756275'), Decimal('-42.917595'))	397	B-	411
qgermano	05 Jul 2025	"Rotonda Benvenuto, 90 Appartamento 9
09081, Ardauli (OR)"	FRNRNF19H56H835Y		Infantino-Beccheria s.r.l.	Sig. Sabatino Tomei		ggarrone@tim.it	(Decimal('66.905208'), Decimal('-166.051398'))	155	O-	813
vfujiwara	11/19/2019, 00:00:00	栃木県文京区幸手21丁目27番6号 シャルム卯の里868	128-88-7685		坂本鉱業株式会社	村上 美加子		itohanako@gmail.com	(Decimal('61.8273685'), Decimal('-101.177674'))	1130	A-	202
tarookada	2023-05-13	栃木県富里市細野22丁目10番6号 高田馬場パレス996	632-95-4566		株式会社山田建設	鈴木 香織		kenichiabe@yahoo.com	(Decimal('87.610237'), Decimal('69.478658'))	1327	AB+	478
jscotti	01/15/2024, 00:00:00	"Contrada Francesco, 985
09014, Carloforte (SU)"	TSOLLL75H25F138U		Giovine-Dovara s.r.l.	Morena Beccaria		unibali@hotmail.com	(Decimal('-21.3275765'), Decimal('91.627264'))	414	A-	166
kyosukesuzuki	2024-07-22	京都府多摩市港南21丁目1番10号	178-56-7403		有限会社小林食品	清水 香織		haruka81@gmail.com	(Decimal('54.878754'), Decimal('-33.438115'))	944	B-	690
manabu10	2023-07-18	奈良県小平市東浅草33丁目6番19号 隼町アーバン609	103-44-8369		吉田通信合同会社	太田 亮介		mai06@gmail.com	(Decimal('-76.1992565'), Decimal('105.720654'))	1253	AB+	207
mcondoleo	07/07/2022, 00:00:00	"Incrocio Eraldo, 71 Piano 0
63081, San Silvestro (AP)"	CSGBCC64A46M045L		Bondumier-Scotto e figli	Dott. Gloria Nosiglia		pontecorvoricciotti@gmail.com	(Decimal('84.5896835'), Decimal('48.098113'))	1288	AB+	32
tpohl	2020/08/18	"Änne-Scholl-Platz 3987
21105 Brilon"	101-95-7102		Reinhardt Häring GmbH & Co. OHG	Irmtraud Seidel B.Eng.		fliegnermonika@hotmail.de	(Decimal('87.956298'), Decimal('83.025986'))	1533	A-	212
cesaronimaura	07/27/2021, 00:00:00	"Borgo Geronimo, 33 Piano 4
24010, Cusio (BG)"	SRCMTD70D02E829I		Riccardi-Brancaccio e figli	Pierluigi Persico	Corporate investment banker	corrermassimiliano@yahoo.com	(Decimal('-80.6527875'), Decimal('139.001201'))	575	AB-	379
rikanakajima	09/27/2018, 00:00:00	愛媛県横浜市泉区虎ノ門19丁目17番16号	790-20-2060		合同会社渡辺建設	遠藤 直子		gsato@yahoo.com	(Decimal('33.8945035'), Decimal('89.848859'))	922	AB-	388
naoki99	2019-06-08	愛媛県横浜市港南区轟5丁目17番19号 シティ三ノ輪368	519-59-4218		株式会社斎藤電気	前田 篤司		murakaminaoko@gmail.com	(Decimal('-46.482696'), Decimal('-128.980815'))	595	A-	729
andreottidonatello	2023/08/01	"Incrocio Cimini, 99
29028, Biana (PC)"	SLRLSU77E28L830G		Scotti, Binaghi e Tognazzi SPA	Dott. Napoleone Trussardi	Financial adviser	puglisinanni@alice.it	(Decimal('74.4702765'), Decimal('-78.953361'))	1015	A-	665
mrios	01/13/2019, 00:00:00	"Condomínio de Melo, 1
São João Batista
42347-748 Silva Grande / CE"	25467980300		Moraes Pereira e Filhos	Sara Alves		dompacheco@uol.com.br	(Decimal('33.257849'), Decimal('-30.350803'))	1112	O+	152
pedro-lucascastro	23 Aug 2025	"Fazenda Evelyn Sousa, 2
Buraco Quente
10857-589 Fernandes / AL"	83625710986		Martins Abreu S/A	Isaac Freitas		da-cunhaigor@bol.com.br	(Decimal('-55.1373735'), Decimal('12.156856'))	1270	O+	163
maria95	2025-09-01	"Unit 5791 Box 5485
DPO AE 04135"	249-21-1358		Stuart, Thomas and Walker	Brett Kim		scottobrien@gmail.com	(Decimal('66.687563'), Decimal('-164.544907'))	1755	B-	482
hideki13	29 Jul 2021	三重県八街市丹勢27丁目3番8号 月島クレスト031	737-20-1394		合同会社石井ガス	山口 春香		sotarosasaki@gmail.com	(Decimal('-17.944248'), Decimal('-37.998425'))	1945	AB+	122
agomes	2022-05-13	"Parque Caldeira, 9
Sagrada Família
43753246 da Rosa de Montenegro / GO"	98035672177		Pires	Fernanda Martins		emillynunes@yahoo.com.br	(Decimal('26.848775'), Decimal('76.710131'))	927	O-	417
yramos	2024-04-20	"Quadra de Sousa
Caiçaras
59522-206 Correia / RN"	61740325826		Porto	Eloá Novaes		isisrezende@ig.com.br	(Decimal('-52.4241085'), Decimal('14.819974'))	1301	B+	226
satojun	2023/01/10	新潟県羽村市池之端8丁目17番12号	813-15-6439		有限会社阿部建設	青木 治		satotaro@yahoo.com	(Decimal('-35.538528'), Decimal('108.433466'))	391	AB-	504
romana23	20 Nov 2019	"Incrocio Angelica, 3
70028, Sannicandro Di Bari (BA)"	PRSLRI99T26G685G		Bellò, Callegaro e Mantegna SPA	Stefano Falcone		gottardigiancarlo@libero.it	(Decimal('37.922543'), Decimal('51.542142'))	568	B+	395
syamada	2024-02-06	岩手県香取郡東庄町勝どき4丁目17番10号 西小来川ハイツ348	589-42-7851		伊藤銀行株式会社	田中 美加子	営業	xnakamura@gmail.com	(Decimal('52.8904855'), Decimal('102.730634'))	1863	AB-	411
naokoito	01/20/2019, 00:00:00		322-05-9711		株式会社佐藤ガス	山本 和也	コピーライター	enishimura@gmail.com	(Decimal('10.331723'), Decimal('-123.411534'))	1065	A-	323
agatha73	2021/01/22	"Viela Pastor, 1
Vila Dos Anjos
74901759 da Costa dos Dourados / SP"	82760531902		Pacheco - EI	Amanda Martins	Engenheiro de telecomunicações	maria-isisoliveira@ig.com.br	(Decimal('-5.004564'), Decimal('-42.745656'))	521	AB-	152
derek25	20 Jun 2022	"56687 Harrell Spurs Suite 717
New Jefferyburgh, VI 86331"	473-52-4121		Patterson, Blair and Gray	Misty Huber	Counsellor	jasonsanchez@gmail.com	(Decimal('-43.9348885'), Decimal('-157.305844'))	812	A+	318
albuquerquenicole	05/10/2023, 00:00:00		84036195700		Pinto S.A.	Gabrielly Monteiro		xsampaio@bol.com.br	(Decimal('52.558115'), Decimal('130.841705'))	18	B-	40
xpace	13 Apr 2019		STRPLM64H23C432E		Pepe s.r.l.	Leone Zanichelli		chechiannunziata@libero.it	(Decimal('-24.7700815'), Decimal('-146.462574'))	619	B-	642
momokonakagawa	08/05/2025, 00:00:00	香川県羽村市睦23丁目11番16号 コーポ丹勢110	528-53-3165		合同会社伊藤鉱業	加藤 太一		rikafukuda@hotmail.com		87	O+	432
ufarinelli	02/08/2020, 00:00:00	"Incrocio Rizzoli, 732 Appartamento 3
80125, Agnano (NA)"	CRQVIO25A59G643V		Barcella e figli	Piergiorgio Contrafatto		eleanorabazzi@hotmail.it	(Decimal('-49.2902505'), Decimal('13.864760'))	1678	O+	585
nina12	25 Sep 2022	"Viale Filippini, 44
50031, Galliano (FI)"	BRRGRL76R12C872Q		Foscari e figli	Raffaele Maderno		gargentero@tiscali.it	(Decimal('62.4306015'), Decimal('-110.368808'))	433	A-	708
ravi-lucca86	2021-11-19	"Fazenda Marcos Vinicius Duarte, 375
Vila Canto Do Sabiá
74307-193 Borges / RO"	75893241673		Lima	Anthony Aragão	Remador	eandrade@hotmail.com	(Decimal('-54.924845'), Decimal('116.024348'))	844	B-	279
satokyosuke	2021/04/24	奈良県山武郡横芝光町二つ室2丁目26番11号 クレスト脚折町775	488-42-7148		合同会社吉田水産	長谷川 聡太郎	エンジニア演奏家	jishikawa@yahoo.com	(Decimal('-28.6364345'), Decimal('-59.190460'))	64	B-	40
matsudakumiko	08/10/2020, 00:00:00	京都府鴨川市大京町15丁目17番16号 氏家新田パーク399	838-71-3818		佐藤鉱業合同会社	加藤 陽子		osamu36@yahoo.com	(Decimal('-81.501891'), Decimal('-147.183826'))	575	B+	262
nakagawamaaya	2024/02/05	滋賀県多摩市箪笥町25丁目27番4号	215-75-8146		鈴木ガス株式会社	佐藤 七夏		naoki64@yahoo.com	(Decimal('-10.069788'), Decimal('-41.905985'))	1446	O-	238
lpisano	05/05/2019, 00:00:00	"Incrocio Berlusconi, 41
46018, Ponteterra (MN)"	TRSTNO26M63C331U		Garobbio s.r.l.	Giovanna Barese	Scientist, audiological	antoniaflaiano@tin.it	(Decimal('-1.6504535'), Decimal('-169.597677'))	372	B-	45
tsubasa69	05/02/2019, 00:00:00		429-22-2029		山本農林合同会社	小林 陽子		asukayamashita@yahoo.com	(Decimal('-19.1542705'), Decimal('-16.710505'))	283	B-	758
campbellbenjamin	14 Jan 2021		849-63-0152		Ford Inc	Carl Gonzales		carpenterjill@gmail.com	(Decimal('3.8180375'), Decimal('27.925812'))	718	O-	419
ibluemel	2022/09/19	"Wulfweg 7-8
89609 Passau"	634-88-5997		Ullmann Scholl e.G.	Raymond Hövel B.Eng.	Ausbaufacharbeiter	koch-iiinge@hotmail.de	(Decimal('37.547421'), Decimal('43.001601'))	598	O-	66
marisa12	2024-01-28	"Steuerweg 6
47839 Hildesheim"	504-89-9339		Schomber GmbH & Co. KG	Hassan Haase		gnatzholm@aol.de	(Decimal('-42.318798'), Decimal('-95.722275'))	1578	B-	167
nogueiravinicius	01/21/2020, 00:00:00	"Recanto Lorena Silveira, 6
Vila Batik
40165-478 Oliveira / AL"	19530782659		Vasconcelos	Josué Albuquerque		xsiqueira@yahoo.com.br		975	B+	145
abrown	08 Jul 2021	"45618 Vang Walks
Heatherchester, OH 22978"	194-46-4135		Green Ltd	Lori Warren		jennifermoore@yahoo.com	(Decimal('-1.828711'), Decimal('91.870282'))	1122	B-	253
mmuehle	2019-08-18	"Wilma-Sontag-Allee 315
90503 Lobenstein"	897-04-1426		Bohlander	Ing. Georg Fiebig B.A.		samigertz@hotmail.de	(Decimal('85.4734525'), Decimal('179.717143'))	986	A+	89
virgiliomartucci	05/30/2021, 00:00:00	"Contrada Lamborghini, 69
85058, Vietri Di Potenza (PZ)"	ZNCSRN65R04I063J		Pincherle, Antonetti e Filzi s.r.l.	Mirko Guarana-Tosto		xmastroianni@tim.it	(Decimal('3.6376595'), Decimal('-163.989964'))	1576	AB+	403
suzukimaaya	12/19/2019, 00:00:00	滋賀県横浜市鶴見区猿楽町25丁目1番2号	888-88-9314		遠藤食品株式会社	鈴木 さゆり		morihanako@hotmail.com	(Decimal('-20.556190'), Decimal('171.494173'))	1807	A+	66
brownemily	2023/01/13	"26625 Harvey Hollow
Greenfort, HI 46416"	097-55-4781		Young, Smith and Carter	Rachel Mckee		ernestlewis@hotmail.com	(Decimal('-2.8754915'), Decimal('-69.074055'))	1363	B+	573
leesierra	2018-10-08	"3891 Parker Loaf
Chapmanville, NY 85942"	693-32-3265		Day, Carey and Adkins	Cory Solis		hobbscynthia@hotmail.com	(Decimal('87.7684195'), Decimal('-118.123685'))	2028	B+	153
ninettazaccagnini	2020/10/21	"Incrocio Giradello, 91 Piano 9
63061, Massignano (AP)"	CTNMRN27C63C600V		Parpinel-Villarosa e figli	Nina Fioravanti		osvaldomantegna@live.com	(Decimal('-18.9616655'), Decimal('-176.775561'))	891	A-	824
shawsara	2022/03/01	"82917 Brett Square Suite 979
Tristanton, PR 32748"	667-36-6522		Robinson, Ellis and Martin	Dennis Parsons		isaiah18@yahoo.com	(Decimal('-61.1287295'), Decimal('-135.815332'))	1900	AB-	511
eberhardbolnbach	05/06/2019, 00:00:00	"Beerweg 2-1
44992 Neustadtner Waldnaab"	240-27-3900		Conradi	Oscar Jäkel		silvanadrub@gmx.de	(Decimal('-55.604943'), Decimal('-97.852758'))	1925	O-	309
rodriguesbeatriz	2020-06-02	"Campo Pimenta, 32
Aparecida
04804-963 Vasconcelos do Sul / AP"	03687194213		Nunes Sá - ME	Sabrina Rios	Repórter	kevin14@yahoo.com.br	(Decimal('-55.5030855'), Decimal('-72.786904'))	1125	A-	75
chiappettaadele	01 Jan 2024	"Contrada Garibaldi, 0 Piano 8
67048, Rocca Di Mezzo (AQ)"	LPRMSM35A60C222T		Mazzini SPA	Ornella Dalla-Savorgnan		aldocastiglione@gmail.com	(Decimal('-5.6570825'), Decimal('49.171302'))	526	AB-	135
hartwig35	08/17/2022, 00:00:00	"Reingard-Pergande-Weg 5725
48708 Erbisdorf"	991-19-1941		Wirth	Karl-Jürgen Eimer		xmielcarek@aol.de	(Decimal('76.1192035'), Decimal('1.833476'))	1075	O+	428
cunhaana-vitoria	09/12/2021, 00:00:00	"Vale de Fonseca, 86
Grota
65203-580 Pimenta de Goiás / SP"	65832741080		Leão S/A	Ana Lívia da Mata	Engenheiro de alimentos	sasofia@yahoo.com.br	(Decimal('-82.1865485'), Decimal('-86.176492'))	1443	O+	35
brayan06	2022/01/21	"Vila José Borges, 27
Palmares
54128593 Sá / PA"	62540987338		da Rosa S/A	Sra. Maria Júlia Santos		rezendemirella@hotmail.com	(Decimal('-69.7050065'), Decimal('39.640646'))	527	B+	163
torquatostefanelli	06/04/2019, 00:00:00	"Strada Vendetti, 11 Piano 3
20041, Bussero (MI)"	GDTMRA22D28G295Q		Broggini SPA	Barbara Altera		vtron@hotmail.com	(Decimal('-12.790430'), Decimal('112.118122'))	1508	O-	376
pbuck	2022-07-12	"3791 Sanchez Shoal
New David, IN 21957"	719-13-9052		Frost Inc	Amanda Boone		georgemartinez@gmail.com	(Decimal('-39.965953'), Decimal('-175.278905'))	72	AB+	188
brayansouza	2020/03/03	"Alameda Cassiano
Vila Suzana Primeira Seção
84401-090 Rocha / PB"	28406379103		da Mata Rezende e Filhos	Bárbara Araújo	Consultor de radiestesia	pedro-henrique19@bol.com.br	(Decimal('-28.2430745'), Decimal('57.147478'))	1776	B+	648
lisa10	30 Apr 2024	"47950 Dorsey Loaf
Davischester, MP 71487"	070-65-6099		Miranda, Hawkins and Anderson	Eric Adams		haneyjessica@gmail.com	(Decimal('2.642153'), Decimal('62.923925'))	947	A+	499
gotoosamu	2024-11-19	栃木県青梅市中鉢石町28丁目3番11号	054-91-8947		山本鉱業合同会社	石井 直子		hfujii@hotmail.com	(Decimal('-85.057722'), Decimal('162.295055'))	553	AB-	151
steinbergalberto	2020-12-30	"Ortmannallee 7-5
29623 Hainichen"	847-38-3001		Briemer GmbH & Co. OHG	Janos Hornich		flantzleonardo@gmx.de	(Decimal('-82.565067'), Decimal('170.008364'))	123	O+	682
lambertraymond	09/26/2022, 00:00:00	"613 Scott Squares Suite 575
Josestad, NJ 84430"	619-03-3444		Moore-Campbell	Gabriel Price		jacobsjenny@yahoo.com	(Decimal('74.233845'), Decimal('128.342796'))	1786	B-	30
robert78	23 Nov 2022	"00675 Adam Drive Suite 387
Christopherchester, UT 96623"	577-04-6302		Alexander, Long and Wright	Madeline Atkinson		saunderskristine@gmail.com	(Decimal('40.964624'), Decimal('141.689742'))	1797	B+	436
mikako19	03/19/2024, 00:00:00		144-42-1663		株式会社松本鉱業	森 桃子		yasuhirokobayashi@hotmail.com	(Decimal('69.4075895'), Decimal('-84.190134'))	1136	O-	453
jeanettezimmer	23 Jan 2022	"Hans-Heinrich-Scheel-Allee 5/4
27986 Eisenach"	468-78-8547		Trub Thies GmbH & Co. KG	Lukas Flantz	Friseur	celalboucsein@gmail.com	(Decimal('51.2332445'), Decimal('-147.394113'))	1735	B-	592
alice67	2024/07/16	"Avenida Kevin Costela, 1
João Alfredo
36473-720 Rodrigues da Mata / MS"	25346198024		Sá	Vitória Rocha		britomateus@yahoo.com.br	(Decimal('-60.7155815'), Decimal('-97.492480'))	2026	B+	322
lavinia24	2023-10-12	"Lago Nogueira, 5
Liberdade
27948453 Sousa / SE"	58129403714		Costa Mendes S/A	Samuel Casa Grande		hcirino@yahoo.com.br	(Decimal('41.9815905'), Decimal('76.909335'))	1228	A+	413
casaloditeresa	04/12/2023, 00:00:00	"Strada Piermaria, 8 Appartamento 35
33078, San Vito Al Tagliamento (PN)"	BRSTLC51M42A615U		Petrocelli, Gelli e Orengo Group	Gianluca Franscini	Press sub	gianna92@tim.it	(Decimal('18.2889675'), Decimal('37.002995'))	453	AB-	656
esullivan	2021-08-22	"6988 Abbott Glens
New Juliamouth, VI 80729"	800-12-2225		Mills-Brown	Charles Riley	Archaeologist	kelleymelissa@gmail.com	(Decimal('-73.7116825'), Decimal('-45.434199'))	188	A+	42
jmonti	05/28/2019, 00:00:00	"Vicolo Filippini, 0 Piano 9
13861, Ailoche (BI)"	BTALBT91A51E922G		Gianvecchio, Germano e Bondumier Group	Ferdinando Paolucci		cirocianciolo@fastwebnet.it	(Decimal('-51.234269'), Decimal('31.206892'))	1612	AB+	169
barbarigomorena	2024/05/11	"Strada Agostinelli, 550
14016, Pratomorone (AT)"	PRTLRA12R08B358K		Fieramosca-Romano SPA	Biagio Grisoni	Administrator, local government	mattia92@libero.it		763	O+	276
garciaana-julia	2020-08-26	"Recanto Vitor Rodrigues, 99
Caetano Furquim
97852995 Câmara / RR"	02918643769		Castro	Emanuella Almeida		oliveiraotavio@bol.com.br	(Decimal('22.042081'), Decimal('-59.305801'))	788	B+	588
luigina74	2023/09/06		BRGFRN20L53F576P		Omma-Cavalcanti SPA	Fortunata Ponti		iguglielmi@libero.it	(Decimal('-52.3388825'), Decimal('24.104734'))	1383	B-	228
caroline89	2019-04-12	"Estação Yago Montenegro, 483
Maravilha
73247183 Jesus das Pedras / RS"	83624751964		Martins - EI	André da Luz		qporto@hotmail.com	(Decimal('32.278748'), Decimal('-58.440376'))	554	B+	545
tatianamude	2020-11-28	"Witold-Trupp-Weg 53
11879 Querfurt"	197-91-9853		Scheibe	Prof. Ralf-Peter Steuer MBA.		mattias53@hotmail.de	(Decimal('32.5819285'), Decimal('93.867931'))	1377	AB-	478
pgonzalez	26 Dec 2023	"470 Jones Canyon
Hurleyshire, HI 92808"	198-39-9246		Rogers-Short	Erin Anderson		destiny51@yahoo.com	(Decimal('6.855903'), Decimal('-67.526212'))	1914	AB-	322
laurajohnson	02 Jun 2022		661-77-6355		Khan and Sons	Randy Martinez		gregory70@gmail.com	(Decimal('82.0784095'), Decimal('142.002936'))	955	A+	386
wleblanc	04 Jun 2020	"USCGC Macias
FPO AE 01912"	425-87-8503		Collier Inc	Christopher Watts		fmckenzie@yahoo.com	(Decimal('83.7826605'), Decimal('-8.196754'))	1691	O-	381
hasegawaharuka	2023/03/26	熊本県横浜市中区戸塚町39丁目17番18号 丸の内シティ749	218-91-3240		株式会社松本印刷	中川 陽子		kobayashikenichi@hotmail.com	(Decimal('47.4326645'), Decimal('4.186261'))	2014	AB+	315
satohideki	22 May 2024	石川県杉並区太田ヶ谷17丁目4番13号	526-86-3237		株式会社佐藤通信	佐藤 翼	映画監督	yuki41@gmail.com	(Decimal('-82.049558'), Decimal('-154.560774'))	1800	AB-	530
lpereira	01 Apr 2022	"Vale Stephany Cavalcante, 81
Vila Boa Vista
43141-215 Macedo do Sul / MG"	74938125005		Dias Martins e Filhos	Heitor Martins	Síndico	carvalhosofia@hotmail.com	(Decimal('-79.5686955'), Decimal('-100.068556'))	1104	O-	303
manabu42	2024-10-14	岐阜県香取郡多古町美原町23丁目1番14号 コート小入061	411-56-1105		松本水産合同会社	中村 千代		kyamaguchi@gmail.com	(Decimal('22.6471665'), Decimal('142.212106'))	1238	O+	171
rosaliawiek	09/01/2024, 00:00:00	"Kristian-Bähr-Ring 359
76829 Wetzlar"	143-68-4662		Loos	Ingeborg Fechner-Roskoth		tiloholzapfel@yahoo.de	(Decimal('68.3968565'), Decimal('-72.514738'))	1712	O+	708
benitezchristine	10 Aug 2022	"149 Newton Ports Apt. 473
West Charles, WA 88847"	750-81-9212		Turner, Sosa and Mills	Wendy Powell		heather03@yahoo.com		322	AB+	334
